Ano;Desmatamento (km²);Área protegida;LIRA;Categoria;Categoria 2
2019;3,75;APA Da Baixada Maranhense;Não;UC;APA
2018;0,96;APA Da Baixada Maranhense;Não;UC;APA
2017;9,33;APA Da Baixada Maranhense;Não;UC;APA
2016;2,96;APA Da Baixada Maranhense;Não;UC;APA
2015;0,91;APA Da Baixada Maranhense;Não;UC;APA
2014;5,46;APA Da Baixada Maranhense;Não;UC;APA
2013;11,65;APA Da Baixada Maranhense;Não;UC;APA
2012;2,14;APA Da Baixada Maranhense;Não;UC;APA
2011;16,83;APA Da Baixada Maranhense;Não;UC;APA
2010;8,21;APA Da Baixada Maranhense;Não;UC;APA
2009;11,98;APA Da Baixada Maranhense;Não;UC;APA
2008;45,84;APA Da Baixada Maranhense;Não;UC;APA
2018;0,07;APA Da Regiã£O Do Maracanã£;Não;UC;APA
2014;0,5;APA Da Regiã£O Do Maracanã£;Não;UC;APA
2011;0,2;APA Da Regiã£O Do Maracanã£;Não;UC;APA
2010;0,29;APA Da Regiã£O Do Maracanã£;Não;UC;APA
2008;2,48;APA Da Regiã£O Do Maracanã£;Não;UC;APA
2020;0,65;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2019;1,3;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2018;0,56;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2017;2,56;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2016;0,3;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2015;1,47;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2014;3,44;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2013;1,04;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2012;0,35;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2011;1,61;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2010;2,68;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2009;7,1;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2008;5,86;APA Das Reentrã¢Ncias Maranhenses;Não;UC;APA
2019;0,17;APA - Baixo Rio Branco;Não;UC;APA
2016;0,07;APA - Baixo Rio Branco;Não;UC;APA
2014;0,06;APA - Baixo Rio Branco;Não;UC;APA
2013;0,09;APA - Baixo Rio Branco;Não;UC;APA
2011;0,07;APA - Baixo Rio Branco;Não;UC;APA
2010;0,5;APA - Baixo Rio Branco;Não;UC;APA
2009;1,25;APA - Baixo Rio Branco;Não;UC;APA
2008;0,35;APA - Baixo Rio Branco;Não;UC;APA
2019;2,21;APA  Tapuruquara;Não;UC;APA
2018;0,26;APA  Tapuruquara;Não;UC;APA
2017;0,23;APA  Tapuruquara;Não;UC;APA
2016;0,21;APA  Tapuruquara;Não;UC;APA
2015;0,28;APA  Tapuruquara;Não;UC;APA
2014;0,61;APA  Tapuruquara;Não;UC;APA
2012;1,03;APA  Tapuruquara;Não;UC;APA
2011;1,21;APA  Tapuruquara;Não;UC;APA
2010;0,76;APA  Tapuruquara;Não;UC;APA
2009;0,1;APA  Tapuruquara;Não;UC;APA
2008;0,14;APA  Tapuruquara;Não;UC;APA
2019;0,06;APA Da Chapada Dos Guimarãƒes;Não;UC;APA
2011;0,08;APA Da Chapada Dos Guimarãƒes;Não;UC;APA
2009;0,54;APA Da Chapada Dos Guimarãƒes;Não;UC;APA
2008;0,06;APA Da Chapada Dos Guimarãƒes;Não;UC;APA
2011;0,11;APA Da Regiãƒo Metrolpolitana De Belã‰M;Não;UC;APA
2015;0,28;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2014;0,46;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2013;0,13;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2012;0,23;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2010;0,16;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2009;0,52;APA Das Cabeceiras Do Rio Cuiabã;Não;UC;APA
2010;0,06;APA De Algodoal-Maiandeua;Não;UC;APA
2020;0,06;APA De Alter Do Chãƒo;Não;UC;APA
2019;0,21;APA De Alter Do Chãƒo;Não;UC;APA
2018;0,07;APA De Alter Do Chãƒo;Não;UC;APA
2016;0,13;APA De Alter Do Chãƒo;Não;UC;APA
2015;0,13;APA De Alter Do Chãƒo;Não;UC;APA
2014;0,06;APA De Alter Do Chãƒo;Não;UC;APA
2013;0,52;APA De Alter Do Chãƒo;Não;UC;APA
2012;0,08;APA De Alter Do Chãƒo;Não;UC;APA
2011;0,07;APA De Alter Do Chãƒo;Não;UC;APA
2010;0,52;APA De Alter Do Chãƒo;Não;UC;APA
2008;0,58;APA De Alter Do Chãƒo;Não;UC;APA
2019;6,03;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2018;2,52;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2017;4,82;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2016;3,77;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2015;4,78;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2014;3,26;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2013;1,81;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2012;2,88;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2011;5,5;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2010;4,98;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2009;6,89;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2008;13,17;APA De Presidente Figueiredo - Caverna Do Moroaga;Não;UC;APA
2020;0,07;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2016;0,65;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2014;0,18;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2013;0,14;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2012;0,12;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2011;0,09;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2010;0,36;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2009;0,15;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2008;1,87;APA De Sãƒo Geraldo Do Araguaia;Não;UC;APA
2020;3,54;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2019;3,62;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2018;0,96;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2017;4,44;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2016;2,91;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2015;1,79;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2014;1,48;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2013;3,04;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2012;1,75;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2011;3,8;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2010;33,28;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2009;7,76;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2008;5,2;APA Do Arquipã‰Lago Do Marajã“;Não;UC;APA
2020;0,34;APA Do Igarapã‰ Gelado;Não;UC;APA
2019;0,1;APA Do Igarapã‰ Gelado;Não;UC;APA
2016;0;APA Do Igarapã‰ Gelado;Não;UC;APA
2013;0,11;APA Do Igarapã‰ Gelado;Não;UC;APA
2010;0,12;APA Do Igarapã‰ Gelado;Não;UC;APA
2008;1,25;APA Do Igarapã‰ Gelado;Não;UC;APA
2010;0,06;APA Do Juã;Não;UC;APA
2008;0,17;APA Do Juã;Não;UC;APA
2020;23,48;APA Do Lago De Tucurui;Não;UC;APA
2019;16,42;APA Do Lago De Tucurui;Não;UC;APA
2018;17,47;APA Do Lago De Tucurui;Não;UC;APA
2017;13,98;APA Do Lago De Tucurui;Não;UC;APA
2016;19,81;APA Do Lago De Tucurui;Não;UC;APA
2015;27,55;APA Do Lago De Tucurui;Não;UC;APA
2014;6,98;APA Do Lago De Tucurui;Não;UC;APA
2013;11,87;APA Do Lago De Tucurui;Não;UC;APA
2012;8,83;APA Do Lago De Tucurui;Não;UC;APA
2011;16,4;APA Do Lago De Tucurui;Não;UC;APA
2010;26,79;APA Do Lago De Tucurui;Não;UC;APA
2009;19,92;APA Do Lago De Tucurui;Não;UC;APA
2008;46,58;APA Do Lago De Tucurui;Não;UC;APA
2016;0,12;APA Do Rio Madeira;Não;UC;APA
2011;0;APA Do Rio Madeira;Não;UC;APA
2009;0,42;APA Do Rio Madeira;Não;UC;APA
2008;0,21;APA Do Rio Madeira;Não;UC;APA
2020;69,57;APA Do Tapajã“S;Não;UC;APA
