;area protegida;desmatamento
0000.00.0047;ESEC Da Terra Do Meio;15,36
0000.00.0083;FLONA Altamira;58,53
0000.00.0085;FLONA De Balata-Tufari;0,48
0000.15.1036;FLOTA De Iriri;18,18
0000.13.1731;FLOTA Tapauá;0,61
0000.15.1038;FLOTA Do Paru;5,07
0000.11.0765;PAREST Guajará-Mirim ;7,28
0000.00.0151;PARNA Da Serra Do Pardo;0,67
0000.00.0163;PARNA de Pacaás Novos ;0,51
0000.13.1573;RDS Do Juma;1,58
0000.13.1977;RDS Do Rio Madeira;0,16
0000.13.0987;RDS Piagaçú-Purus;0,1
0000.00.0216;REBIO Nascentes Serra Do Cachimbo;26
0000.13.1733;RESEX Canutama;0,13
0000.00.0222;RESEX Chico Mendes;57,41
0000.00.0232;RESEX do Cazumbá-Iracema ;6
0000.00.1606;RESEX do Medio Purus;1,38
0000.00.1628;RESEX Ituxi;0,26
0000.00.0280;RESEX Rio Iriri;0,07
0000.00.0258;RESEX do Riozinho de Anfrizio;2,48
401;TI Água Preta/Inari;0,44
3002;TI Apyterewa;63,27
3201;TI Arara;0,11
3801;TI Arawete;1,05
6101;TI Baú;1,25
5001;TI Badjonkore;2,61
6001;TI Batovi;0,19
7601;TI Cachoeira Seca;72,44
8101;TI Caititu;0,27
8501;TI Camicua;0,05
9201;TI Capoto/Jarina;0,12
11001;TI Diahui;0,07
16201;TI Igarapé Lourdes ;1,48
23001;TI Kayapó;16,47
23201;TI Koatinemo;0,83
28701;TI Menkragnoti;2,67
32201;TI Panara;1,02
33801;TI Parque do Xingu;3,74
39501;TI Rio Guaporé;0,07
40701;TI Roosevelt;1,27
43001;TI Sete de Setembro;2,99
44801;TI Tenharim Marmelos;0,63
44801;TI Tenharim Marmelos (Gleba B);0,7
46201;TI Trincheira Bacaja;23,54
46401;TI Trombetas/Mapuera;0,47
48201;TI Uru-Eu-Wau-Wau;3,27
49801;TI Wawi;0,14
50601;TI Xipaya;0,6
51101;TI Zoro;2,86
